composite_id,expression,fold_origin,seed_origin,heldout_score_from_lodo_stage,common_value_G,common_value_rank,common_rank_G,common_rank_rank
CFM1,"add(sub(mul(mul(mul(mul(Gradient_Squared_Energy, Gradient_Squared_Energy), mul(mul(Gradient_Squared_Energy, Gradient_Squared_Energy), mul(Gradient_Squared_Energy, Gradient_Squared_Energy))), Gradient_Squared_Energy), mul(mul(Fourier_Transform_Sharpness_Index, mul(mul(Gradient_Squared_Energy, Squared_Gradient), GLCM_Contrast)), mul(Gradient_Squared_Energy, Squared_Gradient))), Wavelet_W1), add(add(Gradient_Squared_Energy, Fourier_Transform_Sharpness_Index), Fourier_Transform_Sharpness_Index))",FINAL_ALL,44,nan,0.1621995745372937,10,16.436847629712698,7
CFM2,"add(mul(mul(mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index), sub(add(Intensity_Skewness_Index, mul(Fourier_Transform_Sharpness_Index, Wavelet_W2)), psqrt(Intensity_Skewness_Index))), mul(mul(mul(mul(Wavelet_W2, GLCM_Contrast), GLCM_Contrast), mul(Wavelet_W2, GLCM_Contrast)), mul(Fourier_Transform_Sharpness_Index, Fourier_High_Frequency_Energy_Ratio))), Fourier_Transform_Sharpness_Index)",WBC,45,0.16920611032230654,0.1633098569086476,13,17.733304149041054,20
CFM3,"add(add(add(Squared_Gradient, Squared_Gradient), sub(psqrt(Fourier_Transform_Sharpness_Index), Wavelet_W2)), mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(psqrt(GLCM_Contrast), Fourier_Transform_Sharpness_Index), mul(mul(Wavelet_W2, mul(mul(psqrt(GLCM_Contrast), Squared_Gradient), Fourier_Transform_Sharpness_Index)), mul(mul(mul(psqrt(GLCM_Contrast), Squared_Gradient), Squared_Gradient), Squared_Gradient)))))",WBC,48,0.19501257372638148,0.1633995905517662,14,16.89714709576503,13
CFM4,"sub(Fourier_Transform_Sharpness_Index, mul(Curvelet_Transform_Sharpness_Index, psqrt(psqrt(sub(Brenner_Gradient, Gradient_Squared_Energy)))))",TBF,49,0.23570498083528638,0.1622918270571713,11,15.737916937174344,1
CFM5,"add(Fourier_Transform_Sharpness_Index, mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(Gradient_Squared_Energy, mul(GLCM_Contrast, Curvelet_Transform_Sharpness_Index)), psqrt(mul(mul(GLCM_Contrast, Wavelet_W1), psqrt(pabs(Gradient_Squared_Energy)))))))",TBF,51,0.23630415894488532,0.1671834061463511,19,16.648805971209164,9
CFM6,"add(pabs(sub(Brenner_Gradient, Intensity_Skewness_Index)), add(pabs(Brenner_Gradient), mul(add(mul(Brenner_Gradient, mul(add(mul(Fourier_High_Frequency_Energy_Ratio, Wavelet_W1), pabs(Intensity_Skewness_Index)), Wavelet_W1)), pabs(psqrt(Fourier_Transform_Sharpness_Index))), Fourier_Transform_Sharpness_Index)))",TBF,48,0.23674421535503545,0.1694556321512361,21,16.406382674936893,6
CFM7,"add(mul(mul(Fourier_Transform_Sharpness_Index, mul(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, Gradient_Squared_Energy), Gradient_Squared_Energy))), Gradient_Squared_Energy), psqrt(Fourier_Transform_Sharpness_Index))",TBF,43,0.25183066629213763,0.1647555224861718,16,16.47384482912674,8
CFM8,"add(mul(Squared_Gradient, mul(mul(mul(GLCM_Contrast, mul(Curvelet_Transform_Sharpness_Index, GLCM_Contrast)), Fourier_Transform_Sharpness_Index), Fourier_High_Frequency_Energy_Ratio)), Fourier_Transform_Sharpness_Index)",TBI,50,0.26878626012312784,0.1667866909090663,17,17.258939689736245,15
CFM9,"add(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, mul(mul(Wavelet_W1, GLCM_Contrast), Fourier_Transform_Sharpness_Index)), mul(Fourier_High_Frequency_Energy_Ratio, Gradient_Squared_Energy)))",BMA,51,0.27693391314480614,0.1668404569408038,18,17.38231215283864,17
CFM10,"add(psqrt(Fourier_Transform_Sharpness_Index), mul(Squared_Gradient, mul(Wavelet_W1, mul(Squared_Gradient, mul(Squared_Gradient, mul(mul(Squared_Gradient, mul(Fourier_High_Frequency_Energy_Ratio, Fourier_Transform_Sharpness_Index)), Fourier_Transform_Sharpness_Index))))))",BMA,48,0.2851469236230313,0.1675323505574139,20,17.575195379144283,18
CFM11,"add(mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), GLCM_Contrast)), Fourier_Transform_Sharpness_Index)",PBS,43,0.2956922326750924,0.1704044656238279,22,17.65970991081653,19
CFM12,"add(mul(mul(Sum_Modified_Laplacian, mul(mul(Wavelet_W3, mul(Gradient_Squared_Energy, mul(mul(Wavelet_W3, mul(Gradient_Squared_Energy, mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index))), psqrt(Fourier_Transform_Sharpness_Index)))), Wavelet_W3)), mul(Gradient_Squared_Energy, Squared_Gradient)), psqrt(Fourier_Transform_Sharpness_Index))",PBS,49,0.3056464907706135,0.1720877431489606,23,18.6904002707014,22
CFM13,"add(pabs(sub(Fourier_Transform_Sharpness_Index, Intensity_Skewness_Index)), add(Squared_Gradient, add(Gradient_Squared_Energy, mul(add(Squared_Gradient, add(Gradient_Squared_Energy, mul(Squared_Gradient, mul(sub(pabs(GLCM_Contrast), psqrt(Intensity_Skewness_Index)), Squared_Gradient)))), mul(Squared_Gradient, pabs(GLCM_Contrast))))))",TBI,48,0.31448855296905265,0.1727935953671613,24,16.767134150085592,12
CFM14,"add(mul(Fourier_Transform_Sharpness_Index, add(GLCM_Contrast, mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index))), add(Gradient_Squared_Energy, Intensity_Skewness_Index))",TBI,45,0.32218820907354,0.1792244639248487,25,16.979938630505345,14
